row,A,B,item
1,W509,13A SINGLE MULTI SOCKET ADAPTOR+ USB,W509 + 13A SINGLE MULTI SOCKET ADAPTOR+ USB
2,W507M,,W507M
3,W507,13A SINGLE SURGE ADAPTER,W507 + 13A SINGLE SURGE ADAPTER
4,W601M,STRAIGHT LAMPHOLDER B22,W601M + STRAIGHT LAMPHOLDER B22
5,,ANGLED LAMPHOLDER B22,ANGLED LAMPHOLDER B22
6,W605M,,W605M
7,W614M,T2 B22 LAMPHOLDER,W614M + T2 B22 LAMPHOLDER
8,W618M,PENDANT HOLDER E27 ELITE COMPLETE,W618M + PENDANT HOLDER E27 ELITE COMPLETE
9,W618M,PENDANT HOLDER E27 TAO'S COMPLETE,W618M + PENDANT HOLDER E27 TAO'S COMPLETE
10,W618M,PENDANT HOLDER B22 COMPLETE,W618M + PENDANT HOLDER B22 COMPLETE
11,W306,,W306
12,W701,CEILING ROSE,W701 + CEILING ROSE
14,C807 / W807,3 X 3 PATRESS BOX,C807 / W807 + 3 X 3 PATRESS BOX
15,W811 / C811,3 X 6 PATRESS BOX,W811 / C811 + 3 X 6 PATRESS BOX
17,,CIRCULAR BOX,CIRCULAR BOX
19,ELITE C-TYPE,,ELITE C-TYPE
20,C301,1 GANG 1 WAY SWITCH,C301 + 1 GANG 1 WAY SWITCH
21,C301W,1 GANG 1 WAY SWITCH WIDE DOLLY,C301W + 1 GANG 1 WAY SWITCH WIDE DOLLY
22,C302,1 GANG 2 WAY SWITCH,C302 + 1 GANG 2 WAY SWITCH
23,C401,3X3 COVER PLATE,C401 + 3X3 COVER PLATE
24,C402,3X6 COVER PLATE,C402 + 3X6 COVER PLATE
25,C304,2 GANG 2 WAY SWITCH,C304 + 2 GANG 2 WAY SWITCH
26,C304W,2 GANG 2 WAY SWITCH WIDE DOLLY,C304W + 2 GANG 2 WAY SWITCH WIDE DOLLY
27,C306,3 GANG 2 WAY SWTCH,C306 + 3 GANG 2 WAY SWTCH
28,C306W,3 GANG 2 WAY SWITCH WIDE DOLLY,C306W + 3 GANG 2 WAY SWITCH WIDE DOLLY
29,C313,INTERMEDIATE SWITCH,C313 + INTERMEDIATE SWITCH
30,C317,BED SWITCH,C317 + BED SWITCH
31,C317W,DOOR BELL SWITCH WIDE DOLLY,C317W + DOOR BELL SWITCH WIDE DOLLY
32,C324AC,AIR CONDITION SWITCH,C324AC + AIR CONDITION SWITCH
33,C324WH,WATER HEATER SWITCH,C324WH + WATER HEATER SWITCH
34,C324W(WH),WATER HEATER SWITCH WIDE DOLLY,C324W(WH) + WATER HEATER SWITCH WIDE DOLLY
35,C324W(AC),AIR CONDITION SWITCH WIDE DOLLY,C324W(AC) + AIR CONDITION SWITCH WIDE DOLLY
36,C327,45A UNIVERSAL SWITCH,C327 + 45A UNIVERSAL SWITCH
37,C331,COOKER UNIT SWITCH,C331 + COOKER UNIT SWITCH
38,C364,4 GANG 2 WAY SWITCH,C364 + 4 GANG 2 WAY SWITCH
39,C167,SATELLITE+USB,C167 + SATELLITE+USB
40,C436,TV DOUBLE,C436 + TV DOUBLE
41,C432,TV SOCKET,C432 + TV SOCKET
42,C439,TELEPHONE SOCKET,C439 + TELEPHONE SOCKET
43,C450,SINGLE SOCKET + USB,C450 + SINGLE SOCKET + USB
44,C407,13A SINGLE SOCKET,C407 + 13A SINGLE SOCKET
45,C407M,13A SINGLE MULTI SOCKET,C407M + 13A SINGLE MULTI SOCKET
46,C408,13A DOUBLE SOCKET,C408 + 13A DOUBLE SOCKET
47,C408M,13A DOUBLE MULTI SOCKET,C408M + 13A DOUBLE MULTI SOCKET
48,C408MB,13A DOUBLE MULTI SOCKET + 2 USB,C408MB + 13A DOUBLE MULTI SOCKET + 2 USB
49,CP200LG,COVER FRAME,CP200LG + COVER FRAME
50,CP200GE,COVER FRAME,CP200GE + COVER FRAME
51,CP200CR,COVER FRAME,CP200CR + COVER FRAME
52,CP200WD,COVER FRAME,CP200WD + COVER FRAME
53,CP100GE,COVER FRAME,CP100GE + COVER FRAME
54,CP100LG,COVER FRAME,CP100LG + COVER FRAME
55,CP100CR,COVER FRAME,CP100CR + COVER FRAME
58,ELITE ELEGANCE (91-SERIES WHITE),,ELITE ELEGANCE (91-SERIES WHITE)
59,91302EFQ,1 GANG 2 GANG SWITCH,91302EFQ + 1 GANG 2 GANG SWITCH
60,91304EFQ,2 GANG 2 WAY SWITCH,91304EFQ + 2 GANG 2 WAY SWITCH
61,91306EFQ,3 GANG 2 WAY SWITCH,91306EFQ + 3 GANG 2 WAY SWITCH
62,91432,TV SOCKET,91432 + TV SOCKET
63,91407MQ,13A SINGLE MULTI SOCKET,91407MQ + 13A SINGLE MULTI SOCKET
64,91408M,13A DOUBLE MULTI SOCKET,91408M + 13A DOUBLE MULTI SOCKET
65,91324,20A SINGLE GANG DOUBLE POLE SWITCH,91324 + 20A SINGLE GANG DOUBLE POLE SWITCH
66,91408MB,13A DOUBLE MULTI SOCKET+USB,91408MB + 13A DOUBLE MULTI SOCKET+USB
67,91689,,91689
70,ELITE ELEGANCE (91-SERIES COFFEE),,ELITE ELEGANCE (91-SERIES COFFEE)
71,91302EFQCF,1 GANG 2 WAY SWITCH,91302EFQCF + 1 GANG 2 WAY SWITCH
72,91304EFQCF,2 GANG 2 WAY SWITCH,91304EFQCF + 2 GANG 2 WAY SWITCH
73,91306EFQCF,3 GANG 2 WAY SWITCH,91306EFQCF + 3 GANG 2 WAY SWITCH
74,91432CF,TV SOCKET,91432CF + TV SOCKET
75,91407MQCF,13A SINGLE MULTI SOCKET,91407MQCF + 13A SINGLE MULTI SOCKET
76,91689CF,,91689CF
77,91407MCF,,91407MCF
78,91408MCF,13A 2 DOUBLE MULTI SOCKET,91408MCF + 13A 2 DOUBLE MULTI SOCKET
79,91324CF,,91324CF
80,ELITE ELEGANCE P-TYPE,,ELITE ELEGANCE P-TYPE
81,P402,3X6 COVER PLATE,P402 + 3X6 COVER PLATE
82,P301F,1 GANG 1 WAY SWITCH,P301F + 1 GANG 1 WAY SWITCH
83,P302F,1 GANG 2 WAY SWITCH,P302F + 1 GANG 2 WAY SWITCH
84,P304F,2 GANG 2 WAY SWITCH,P304F + 2 GANG 2 WAY SWITCH
85,P306F,3 GANG 2 WAY SWTCH,P306F + 3 GANG 2 WAY SWTCH
86,P324AC,AIR CONDITION SWITCH,P324AC + AIR CONDITION SWITCH
87,P324WH,WATER HEATER SWITCH,P324WH + WATER HEATER SWITCH
88,P407,13A SINGLE SOCKET,P407 + 13A SINGLE SOCKET
89,P407M,13A SINGLE MULTI SOCKET,P407M + 13A SINGLE MULTI SOCKET
90,P408,13A DOUBLE SOCKET,P408 + 13A DOUBLE SOCKET
91,P408M,13A DOUBLE MULTI SOCKET,P408M + 13A DOUBLE MULTI SOCKET
